"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","Event Validation","0","Generated catalog","1","0","test_negatives[new_keys-e3]","0"
"0","Event Validation","0","Generated catalog","1","0","test_negatives[missing_keys-e8]","0"
"0","Event Validation","0","Generated catalog","1","0","test_negatives[empty_got_null-e9]","0"
"0","Event Validation","0","Data types","1","0","test_type_bad[e3]","0"
"0","Event Validation","0","Data types","1","0","test_type_ok[immutabledeviceid]","0"
"0","Event Validation","0","Data types","1","0","test_type_ok[kernelinfo]","0"
"0","Event Validation","0","Data types","1","0","test_type_ok[appdome_fusion_app_token]","0"
"0","Event Validation","0","Generated catalog","1","0","test_negatives[missing_keys-e5]","0"
"0","Event Validation","0","Generated catalog","1","0","test_positives","0"
"0","Event Validation","0","Generated catalog","1","0","test_negatives[empty_got_null-e5]","0"
"0","Event Validation","0","Generated catalog","1","0","test_negatives[missing_keys-e3]","0"
"0","Event Validation","0","Generated catalog","1","0","test_negatives[missing_keys-e4]","0"
